tyee index chinook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT WEEK ('01),MONTH,DAY,1956,1957,1958,1959,56-'59 AVERAGE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,60-'69 AVERAGE,STAT WEEK ('01),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,80-'89 AVERAGE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,90-'99 AVERAGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2000-2007 AVERAGE,2009,STAT WEEK ('01),MONTH,DAY,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2010-2019 AVERAGE,,,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,month,day,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,TTD,N,DAILY,,,,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,N,DAILY,TTD,,,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
63,6,21,3.07,5.13,1.3,0.91,4,0.32,0,1.27,0.32,0.6,0.6,3.26,1.84,7.11,1.23,10,63,0,1.25,1.51,0.31,3.17,2.87,1.2,0,0.96,1.54,0.91,1.87,4.03,2.33,2.78,2.35,3,2.79,6.7,8.27,10,4,5.19,1.57,7.63,4.84,3.38,3.04,6.91,6.04,3.68,10,10.62,10.01,2.65,6.63,3.39,2.82,11.87,6.46,,,,8,,63,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,1.99,2.37,1.81,2.18,2.42,1.62,0.91,0.91,0.6,0.61,2.13,5.02,1.5
63,6,22,6.09,3.08,5.03,1.38,4,1.28,0.31,0.95,0.31,2.89,1.59,1.41,0.94,3.16,0,10,63,1.4,0.64,0.31,0.32,3.19,2.74,1.23,1.32,1.56,1.83,2.8,0.92,0.89,2.71,2.15,1.92,2.9,8.56,3.43,4.87,10,3.14,3.01,3.37,4.35,2.49,2.45,5.28,5.74,3.69,5.19,10,11.33,10.31,6.87,7.78,3.89,4.2,8.17,6.28,,,,8,,63,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.07,1.2,1.22,1.97,0.6,2.36,1.98,1.63,0,0.61,2.78,3.25,0.3
63,6,23,5.83,1.2,1.26,1.38,4,0,0.46,2.07,3.76,1.55,0.62,0.93,0.47,4.85,1.25,10,63,0,0.48,0.63,1.34,1.37,1.37,0.33,1.54,0,4.81,1.84,4.86,0.89,1.54,3.95,4.5,4.64,2.88,4.31,4.23,10,4.65,2.21,1.52,6.16,3.28,4.34,3.78,6.45,6.31,2.75,10,15.97,13.35,6.85,7.67,1.46,5.02,12.6,4.56,,,,8,,63,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,1.73,2.62,2.2,2.41,1.47,0,1.41,1.63,0.6,0.81,2.94,4.75,0.91
64,6,24,9.2,1.51,0.87,0.58,4,0.32,0.61,2.1,0.32,1.28,1.59,2.57,0.47,3.05,0.32,10,64,2.17,0,2.25,0.64,3.62,1.86,0.31,1.22,0.94,4.94,1.87,2.16,0.89,1.86,2.11,3.02,5.35,7.32,4.83,1.53,10,6.08,4.58,5.01,4.54,1.77,5.15,4.89,5.13,5.31,3.67,10,10.4,14.53,8.94,7.25,3.21,2.88,7.24,6.64,,,,8,,64,6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.01,0.89,0.6,2.18,1.74,1.11,0.41,0.61,1.2,1.22,5.22,4.06,0.61
64,6,25,9.36,3.52,1.31,3.05,4,0.48,1.92,1.25,1.57,0.94,2.36,3.02,0.9,2.5,0.64,10,64,0,0,0.61,0,3.05,0.92,0.31,2.13,2.49,3.21,1.21,1.24,1.4,1.85,3.22,4.82,3.87,6.94,5.45,2.79,10,6.06,2.19,4.46,8.95,2.77,4.75,9.49,4.25,4.06,4.53,10,16.34,8.88,10.6,5.54,1.51,3.32,7.83,5.65,,,,8,,64,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,2.56,3.46,2.99,2.39,0.6,-,1.99,1.01,1.52,0.61,2.77,2.23,0
64,6,26,6.34,2.8,1,0.45,4,1.2,0.65,0.31,1.53,5.15,0.88,2.13,2.58,2.49,0.95,10,64,0.91,1.36,0.92,0.94,5.8,1.85,1.73,1.23,2.68,6.73,1.32,2.16,4.18,0.46,1.97,4.92,8.23,9.55,4.06,3,10,8.26,4.58,7.13,7.46,1.83,0.93,5.83,5.82,5.84,8.45,10,9.6,14.9,9.41,5.41,4.44,3.48,5.12,6.88,,,,8,,64,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.95,1.16,2.4,3.32,1.01,0,1.62,0.61,1.59,1.22,1.4,0.61,1.41
64,6,27,2.46,4.86,0.64,1.29,4,0,1,0.64,1.56,2.25,0.91,1.2,1.22,3.64,0.93,10,64,1.55,0.59,0.94,0.31,2.27,0.91,0.91,4.02,1.23,2.75,1.1,6.71,0.61,3.03,1.26,6.89,4.93,6.99,4.26,1.87,10,4.65,5.05,4.84,9.52,2.14,8.19,7.34,6.04,5.79,9.43,10,9.56,11.52,8.67,4.69,1.88,3.9,5.35,5.17,,,,8,,64,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,1.97,2.76,2.45,3.77,0.79,0,1.79,1.21,2.42,0,3,1.81,0.4
64,6,28,1.79,4.25,5.55,1.87,4,1.51,0.3,1.24,3.35,1.31,2.47,1.24,3.84,1.89,2.47,10,64,1.48,0.62,0.46,3.07,1.24,0.91,2.15,3.28,4.53,2.32,1.35,4.28,1.19,1.83,4.81,10.23,4.58,6.65,4.28,6.48,10,5.9,2.39,4.34,7.61,3.96,0.96,5.94,8.24,1.84,9.76,10,7.16,10.94,14.57,3.11,2.99,5.72,5.87,3.77,,,,8,,64,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,2.94,4.07,2.13,2.56,0.6,1.6,0.61,1.61,0.61,0,0.89,1.21,1.98
64,6,29,7.45,6.77,2.95,3.26,4,0.32,2.48,0,1.29,1.8,0.71,3.42,4.26,4.2,2.13,10,64,1.54,1.24,0.93,1.84,3.09,3.07,2.75,2.53,3.02,1.22,1.53,6.31,2.45,4.16,2.7,5.14,6.86,2.67,8.94,4.79,10,5.62,2.36,6.26,10.52,4.01,3.2,7.09,8.26,3.57,10.98,10,11.79,5.54,8.78,6.28,5.87,5.12,6.18,6.02,,,,8,,64,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.06,3.28,1.48,0.81,1.39,2.19,3.61,0.41,1.5,-,2.12,1.2,2.36
64,6,30,5.43,7.43,4.04,3.7,4,0,2.76,0,0.92,2.3,1.59,6.9,1.79,5.28,0.65,10,64,0.62,0.31,1.36,2.62,2.8,1.24,0.9,3.58,2.68,2.63,1.83,4.24,4.14,7.32,3.75,4.77,11.9,4.07,7.89,8.44,10,5.32,6.03,3.2,10.44,6.15,0.45,8.57,2.39,4.29,9.31,10,15.39,11.31,8.93,3.26,4.65,4.44,5.17,4.95,,,,8,,64,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,4.05,2.69,2.3,1.59,1.57,1.62,1.21,0.41,0.81,-,4.34,1.21,3.31
