tyee index chinook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT WEEK ('01),MONTH,DAY,1956,1957,1958,1959,56-'59 AVERAGE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,60-'69 AVERAGE,STAT WEEK ('01),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,80-'89 AVERAGE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,90-'99 AVERAGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2000-2007 AVERAGE,2009,STAT WEEK ('01),MONTH,DAY,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2010-2019 AVERAGE,,,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,month,day,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,TTD,N,DAILY,,,,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,N,DAILY,TTD,,,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
82,8,13,0,0,0,0,4,0.31,0,0.29,0,0.29,0.45,0,0,0,0,10,82,0,0.32,0.43,0,0,1.46,0,0,0,0,0,0,0.28,0,0,0.25,0,0,1.11,0.31,10,0,0.37,0,0.3,0,0.75,0,0.31,0.29,1.21,10,0,0,0.64,0.75,0.26,0.2,1.26,1.38,,,,8,,82,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.2,0,0,0.83,0.18,0,0.59,0.3,0,0,0,0.18,N/A
82,8,14,0,0,0.66,0,4,0.31,0,0,0,0,0,0.29,0,0,0.43,10,82,0,0.31,0.27,0.42,0.28,0,0.29,0.41,0.74,0,0.48,0,0,0.31,0,0,0,0,0,0,10,0,0.3,0,0,0,0,0,0,0,0.39,10,0.41,0,0.47,0.45,0.26,0.26,0.32,0.26,,,,8,,82,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2,0,0,1.15,0.19,0,0.3,0.29,0,0,0.29,0,N/A
82,8,15,0,0,0,0.67,4,0,0,0,0,0.27,0,0.31,1.2,0,0,10,82,0,0.59,0,0,0,0,0,0,0,0,0,0.45,0,0,0.56,0.45,0,0,0,0,10,0.22,0,0,0.59,0,0.24,0,0,0,0.86,10,0.42,0,0.14,0.46,0.25,0.35,0.2,0.29,,,,8,,82,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28,0.3,0,0.82,0.38,0,0,0,0,0,0.3,0,N/A
82,8,16,0,0,0.83,0,4,0,0,0,0,0,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.44,10,0,0,0.43,0,1.2,0,0,0,0,0,10,0,0.56,0,0.24,0.56,0.35,0.29,0,,,,8,,82,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.3,0,0,0,0,0,0,0,N/A
82,8,17,0,0,0.41,0.31,4,0,0.31,0,0,0,0,0.47,0,0,0,10,82,0.41,0,0,0,0.48,0.27,0.31,0,0.62,0.31,0,0,0,0,0,0,0,0,0.29,0.84,10,0,0,0,0.93,0,0,0,0,0.59,0,10,0,0.31,0,0,0,0.37,0.27,0.81,,,,8,,82,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0,0,0,1.12,0,0.19,0,0,0,0,0,0,N/A
82,8,18,0,0,0,0,4,0,0,0,0.45,0.31,0,0,0,0,0,10,82,0,0,0,0,0.45,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.3,0.41,10,0,0,0,0.46,0.93,0.28,0.43,0,0,0,10,0,0,0.36,0,0.93,0,0,0.56,,,,8,,82,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0,0.2,0.24,0.56,0.27,0.2,0,0,0.3,0.2,0,1.04,N/A
83,8,19,0,0,0.32,0,4,0,0,0.79,0,0,0,0,0,0,0.83,10,83,0,0,0,0,0,0.28,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0.42,10,0,0,0.31,0.44,0,0,0.28,0,0.6,0,10,0,0,0,0.19,0,0,0.16,0.19,,,,8,,83,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.52,0.26,0.56,0.2,0.28,0,0,0,0,N/A
83,8,20,0,0,0.63,0,4,0,0,0,0,0,0,0,0,0,0,10,83,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,10,0,0,0,0.47,0,0.29,0.28,0,0,0,10,0,0,0.28,0.29,0,0.27,0.17,0.37,,,,8,,83,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.17,1.3,0,0,0,0,0.3,0,0,0.28,N/A
83,8,21,0,0,0,0,4,0,0,0,0,0.63,0,0,0,0,0,10,83,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.9,0,10,0,0,0,0,0,0.56,0.39,0.34,,,,8,,83,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.16,0.19,0,0.58,0,0,0,0,0,0,N/A
83,8,22,0,0,0,0,4,0,0,0,0,0.3,0,0,0,0,0,10,83,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,10,0,0.28,0,0,0,0.29,0,0,0.43,0,10,0,0,0.26,0.16,0,1.38,0,0.17,,,,8,,83,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.2,0.28,0,0.39,0.4,0,0,0,0,N/A
83,8,23,0,0,0,0,4,0,0.29,0.32,0.3,0,0,0,0,0,0.26,10,83,0,0,0,0,N/A,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,10,0,0,0,0,0.45,0,0,0,0,0,10,0,0.81,0,0,0,0,0.53,0,,,,8,,83,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
83,8,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.26,10,83,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0.25,0.26,0.17,0,0.28,0,0,,,,8,,83,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
83,8,25,0,0,0,0,4,0,0,0,0,0.45,0,0,0,0,0,10,83,0,0,0,0,N/A,0,0,0,0.29,0,0,0,0,0.46,0,0,0,0,0.59,0,10,0,0.44,0,0,0,0,0,0,0,0,10,0,0,0.25,0,N/A,0,0,0,,,,7,,83,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0,0,0,0,0,0.53,0,0.3,0,0,0,0,N/A
84,8,26,0,0,0,0,4,0,0,0,0,0,0,0,0,N/A,0,9,84,0,0,N/A,0,0,0.47,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,9,0,0,0,0.31,0,0,0,N/A,0,0,9,0,N/A,0.23,0.26,N/A,N/A,0,0,,,,5,,84,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0,0.3,0,0.37,0.3,0,0,0,0,0.28,0,0,N/A
84,8,27,0,0,0,0,4,0,0,0,0,0,0,0,0,N/A,0,9,84,N/A,0,N/A,0,0,N/A,0,0,0,N/A,0,0,N/A,0,N/A,0,N/A,0,0,0.3,7,0,0.82,0,0.3,0,0,0,N/A,0,0,9,0.29,N/A,0.22,0,N/A,N/A,0.54,0.26,,,,5,,84,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.2,0,0,0.2,0,0,0,0,0.3,0,0,0.19,N/A
84,8,28,0,0,0,0,4,0,0,0,0,0,0,0,0,N/A,0,9,84,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,0,0,5,0.29,0,0,0,0,0,0.43,N/A,0,0,9,0,N/A,0,0,N/A,N/A,0,0.28,,,,5,,84,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,N/A
84,8,29,0,0.44,0,0.31,4,0,0,0,0,0,0,0,0,N/A,0,9,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,0,0,4,0,0,0,0,0,0,0,N/A,0,0.41,9,0,N/A,0,0,N/A,N/A,0,0,,,,5,,84,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
84,8,30,0,0,0,0,4,0,0,0,0,0,N/A,N/A,0,N/A,0,7,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,0,0,4,0,0,0,0,0,0,0,N/A,0,0,9,0,N/A,0,0,N/A,N/A,0.26,N/A,,,,4,,84,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0,0,0,0.3,0,0,0,0,0.3,0,-,0,N/A
84,8,31,0,0,0,0.35,4,0,0.3,0,0,0,N/A,N/A,0,N/A,N/A,6,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,0,0,0,0,0,0,0,N/A,0,0.45,9,0,N/A,0,0.28,N/A,N/A,0,N/A,,,,4,,84,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
84,9,1,0,0,0,0,4,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,5,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,0,0,0,0,N/A,0,0,N/A,0,0,8,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,84,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.3,0,0,N/A
91,9,2,0,N/A,0,0,3,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,5,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.42,0,0,3,0,0,0,0.46,N/A,0,0,N/A,0,0,8,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,N/A
91,9,3,0,N/A,0,0,3,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,5,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0.47,3,0.45,0,0,0,N/A,0,0,N/A,0,0,8,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.3,0,0,0,0,0,0,0,N/A
91,9,4,0,N/A,0,N/A,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,4,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,0,0,0,0,N/A,0,0,N/A,0,0,8,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
91,9,5,0,N/A,0,N/A,2,0,0.31,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,3,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,0,N/A,0,0,N/A,0,0,N/A,0,0,7,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.3,0,0,0,0,0,0,N/A
91,9,6,0,N/A,0,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,0,N/A,0,0,N/A,N/A,0,N/A,0,0,6,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,N/A
91,9,7,0,N/A,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,0,0.32,N/A,N/A,0,N/A,0,0,6,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,91,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.3,0,0,0,0,0,0,N/A
91,9,8,0,N/A,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,0,0,N/A,N/A,0,N/A,0,0,6,0,N/A,N/A,0,N/A,N/A,0.3,N/A,,,,3,,91,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.2,0,0,0,0,0,0,0,0,N/A
92,9,9,0,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,0,N/A,0,0,N/A,N/A,0,N/A,0,0,6,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
92,9,10,0,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,N/A,0,0,N/A,N/A,0,N/A,0,0,6,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
92,9,11,0,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,0,N/A,0,0,4,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
92,9,12,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,0.48,N/A,0,0,4,0,N/A,N/A,0.27,N/A,N/A,0,N/A,,,,3,,92,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-,0,0,0,0,0,0,N/A
92,9,13,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,0,N/A,0,0,4,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.3,0,0,0,0,0,0,0,N/A
92,9,14,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,0,N/A,0,0,4,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.3,0,0,0,0,0,0,0,N/A
92,9,15,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,0,N/A,0,0,4,0,N/A,N/A,0,N/A,N/A,0,N/A,,,,3,,92,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.3,0,0,0,0,0,N/A
93,9,16,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,3,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,N/A
93,9,17,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,3,0,N/A,N/A,0.29,N/A,N/A,N/A,N/A,,,,2,,93,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
93,9,18,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,3,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A
93,9,19,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,3,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,N/A
93,9,20,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,3,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,0,N/A
93,9,21,0,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,N/A
93,9,22,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,93,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,0,N/A
94,9,23,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,94,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,0,N/A
94,9,24,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,94,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,0,N/A
94,9,25,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,0,N/A,N/A,N/A,N/A,,,,2,,94,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A
94,9,26,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,,94,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A
94,9,27,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,,94,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,9,28,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,,94,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,9,29,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,,94,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,9,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,,101,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
