Date,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,average.56-24,p10,p25,p75,p90
06/23/2024,0.046023424,0.063621131,0.077055557,0.03327661,0.076750247,0.021379262,0.06631115,0.026763665,0.04408094,0.082698103,0.024520314,0.041672853,0.136733743,0.072482134,0.026241791,0.011612761,0.038341819,0.033293642,0.063531595,0.023249245,0.01373289,0.033178117,0.108236845,0.053255392,0.065025345,0.02374691,0.051813459,0.036621385,0.009917697,0.025067041,0.005232613,0.024911569,0.017882898,0.034385432,0.016476537,0.029733768,0.011047437,0.026602638,0.02383652,0.018254716,0.041718321,0.027420062,0.077751954,0.017254399,0.03790433,0.06127256,0.020032303,0.024727014,0.025257846,0.040350371,0.004997083,0.027668682,0.008099952,0.016643561,0.039822539,0.014044049,0.024235962,0.039822539,0.00995064,0.011436952,0.025660919,0.020377105,0.001018948,0.00140771,0.000599194,0.001630596,0.003272136,0.02269175,0.012519761,0.033307079,0.007526484,0.016643561,0.041672853,0.067545347
06/24/2024,0.053908409,0.066228367,0.089079669,0.034932635,0.07851553,0.024922724,0.077231949,0.029924432,0.046901649,0.096195715,0.036541954,0.043760524,0.143549154,0.074983535,0.027736633,0.012310817,0.047460773,0.033993476,0.067733663,0.023249245,0.014821703,0.036524214,0.112032963,0.060148816,0.06983854,0.030653953,0.059916613,0.039162244,0.01126136,0.034231625,0.008382043,0.027299239,0.022942651,0.038014381,0.018039971,0.031180704,0.019294209,0.029277851,0.02752378,0.022949756,0.0585694,0.032797338,0.088082318,0.021799337,0.050240683,0.063376739,0.030134889,0.032959947,0.027271771,0.04400545,0.005894099,0.032493456,0.009053139,0.017794904,0.041074954,0.01568171,0.024235962,0.041074954,0.010976357,0.013177193,0.035616399,0.024922919,0.001206839,0.001809913,0.001309009,0.001630596,0.007538293,0.029146184,0.013696064,0.037684468,0.00891892,0.019294209,0.047460773,0.075433218
06/25/2024,0.061232406,0.073335845,0.107201925,0.03825129,0.082487166,0.027068531,0.084271305,0.03480525,0.05435107,0.106810939,0.048606045,0.051307021,0.145566859,0.075297088,0.034583609,0.012310817,0.052671253,0.035173045,0.074720933,0.024474809,0.01917056,0.038528681,0.115667076,0.062979924,0.076551333,0.036275415,0.073708943,0.043836156,0.013010334,0.042462265,0.012253785,0.032947764,0.025472227,0.040222852,0.0197355,0.032196126,0.024818029,0.034303245,0.032615071,0.029879457,0.063693444,0.035426373,0.098104463,0.025931337,0.063828259,0.070890159,0.038250414,0.038307294,0.032530011,0.04899346,0.006788336,0.036314463,0.010207222,0.020739836,0.042667006,0.018664908,0.025452203,0.042667006,0.014965259,0.014058712,0.043179083,0.027502174,0.001958404,0.002212116,0.001309009,0.001630596,0.010368248,0.031680987,0.013696064,0.042219983,0.011876677,0.024474809,0.05435107,0.0777385
06/26/2024,0.075548261,0.082459038,0.112528355,0.039279754,0.085022591,0.028939721,0.086153488,0.041330139,0.065487328,0.119332646,0.064731233,0.055068499,0.146557201,0.081608428,0.038680343,0.01336343,0.056030525,0.036704855,0.085061009,0.025403446,0.021712756,0.04206481,0.126712072,0.070142071,0.082966868,0.053420595,0.085984455,0.050156882,0.014084746,0.054927301,0.018642406,0.040424157,0.02806656,0.043347813,0.022668393,0.035143888,0.034881194,0.039591942,0.03484988,0.039723626,0.072978021,0.038833904,0.111053358,0.029330094,0.081064355,0.083564867,0.042828018,0.051400354,0.04310166,0.056813536,0.008621761,0.040344509,0.01287871,0.022298456,0.051391454,0.020435352,0.02778472,0.051391454,0.016945955,0.017691179,0.05158287,0.031287058,0.002334186,0.002614318,0.002028042,0.002075304,0.014188687,0.035260485,0.014662581,0.048051999,0.013940483,0.025403446,0.065487328,0.085245698
06/27/2024,0.094244465,0.091821098,0.118377778,0.042437168,0.085022591,0.029899322,0.086153488,0.052350079,0.076658011,0.127829478,0.076473778,0.060043002,0.148995814,0.087872197,0.048114716,0.016701019,0.058145685,0.039988579,0.099899992,0.026923795,0.026552875,0.061902888,0.143676416,0.076499002,0.094484735,0.060162093,0.098644988,0.066429134,0.019579764,0.060335056,0.022156974,0.049637869,0.030632113,0.047827008,0.023803213,0.037699762,0.04074529,0.052518665,0.036112986,0.042682938,0.080960911,0.047906592,0.128389636,0.033044991,0.090799227,0.092760444,0.044856205,0.05758764,0.046904414,0.061651062,0.009740442,0.04473885,0.014609834,0.023089515,0.055743064,0.02891578,0.031911053,0.055743064,0.017877354,0.019636601,0.059558856,0.034083722,0.002890633,0.002614318,0.002028042,0.002075304,0.015012912,0.037139317,0.014857383,0.053871927,0.014981806,0.02891578,0.076499002,0.095316785
06/28/2024,0.105131382,0.093683266,0.136211781,0.051638462,0.0884885,0.035769749,0.086153488,0.066625439,0.092147072,0.134249161,0.077221041,0.063346432,0.150005871,0.097991517,0.060782494,0.018838479,0.059010774,0.045008031,0.12019232,0.027940456,0.029253403,0.075964192,0.171626225,0.080166419,0.116125811,0.065297091,0.116607862,0.07492012,0.022294616,0.069417009,0.028604971,0.061344224,0.032470546,0.056859625,0.030277267,0.040356176,0.045169614,0.062511126,0.044101372,0.042939715,0.082650178,0.055985594,0.142749855,0.039285981,0.092611787,0.09844926,0.056818879,0.064179649,0.052260247,0.064762691,0.013806531,0.047404425,0.017589078,0.026183259,0.068203528,0.030628685,0.034760056,0.068203528,0.019421825,0.021977187,0.06218368,0.037453554,0.00317247,0.00422313,0.002507398,0.002976123,0.016374828,0.037770993,0.018131551,0.06028216,0.018023057,0.030628685,0.080166419,0.116222222
06/29/2024,0.121195531,0.099936654,0.151876387,0.057679973,0.09049889,0.04291226,0.086642917,0.082066908,0.098762494,0.137189474,0.082213694,0.066140706,0.159454359,0.105318093,0.062851172,0.022399362,0.0602909,0.048677453,0.144396681,0.030617915,0.032073067,0.084537392,0.191586822,0.083247458,0.133443023,0.070917631,0.12406114,0.079204009,0.022997978,0.075094358,0.031168062,0.073820152,0.03870339,0.059941266,0.033644683,0.042983175,0.049334642,0.073825071,0.047930168,0.047351335,0.093225233,0.068852902,0.169948597,0.043504379,0.095518468,0.116247484,0.061921087,0.071498893,0.05993756,0.071911248,0.021641251,0.049553315,0.02696707,0.03030303,0.072873549,0.03196537,0.038492083,0.072873549,0.023619015,0.026589964,0.076366431,0.05277097,0.00401798,0.006249613,0.002507398,0.002976123,0.017344087,0.040500158,0.018985682,0.066900712,0.02224774,0.033644683,0.084537392,0.125937517
06/30/2024,0.146578927,0.107289911,0.183085462,0.061985087,0.095691613,0.049061831,0.0876063,0.101261618,0.105991396,0.143609157,0.091522856,0.074226962,0.176767339,0.10564176,0.06345003,0.023595425,0.061570088,0.061566491,0.148028418,0.030825343,0.033761642,0.091974974,0.209269676,0.094805507,0.149665756,0.082246722,0.143158884,0.084758908,0.026100493,0.080238764,0.039531933,0.078718003,0.044962208,0.070985511,0.040795667,0.045923716,0.05049419,0.078822532,0.053439899,0.055148788,0.102941503,0.071274689,0.175899637,0.04804982,0.099076914,0.143595591,0.071087044,0.090299262,0.066054479,0.076044747,0.028575082,0.050930195,0.034190774,0.034994557,0.076100108,0.034634315,0.042729489,0.076100108,0.031978024,0.029705679,0.091129254,0.056832556,0.00486349,0.007054019,0.003475327,0.002976123,0.019760161,0.045974684,0.023653433,0.074117983,0.025611081,0.040795667,0.094805507,0.144203111
07/01/2024,0.156522526,0.119323853,0.204844121,0.066021166,0.103356174,0.058220581,0.089032496,0.108292758,0.120360368,0.150962529,0.106665705,0.091041399,0.185230267,0.10857402,0.067904648,0.026359521,0.064655776,0.073962921,0.149183712,0.032874258,0.033761642,0.107072335,0.234404102,0.098873258,0.170061509,0.090579409,0.15721415,0.089752553,0.029471222,0.081042521,0.048536613,0.081223198,0.050410436,0.076761997,0.045527594,0.048137571,0.051545968,0.085058099,0.060563175,0.080939377,0.108504174,0.073198439,0.189376106,0.058093986,0.101855844,0.173274971,0.07771257,0.097200743,0.074254509,0.081256585,0.034253606,0.051657055,0.039149056,0.051316995,0.084591055,0.04687251,0.047150164,0.084591055,0.041897224,0.031491515,0.098438157,0.064145387,0.005427163,0.012329064,0.006323805,0.011836074,0.023219781,0.049286935,0.028223782,0.08190223,0.029221734,0.048137571,0.103356174,0.156660851
07/02/2024,0.162698379,0.12931477,0.234810778,0.069972669,0.110296158,0.076449664,0.094168577,0.108753187,0.129316779,0.161477593,0.125970001,0.12549848,0.187598131,0.112404026,0.08817654,0.029558711,0.073249391,0.086878708,0.14955393,0.034714367,0.034547893,0.115220328,0.270167338,0.103796414,0.178747666,0.100167334,0.173932647,0.097768496,0.032823441,0.081217006,0.059642531,0.082388362,0.061166176,0.0844471,0.046320827,0.052073548,0.05354435,0.095620523,0.068673719,0.090858163,0.113155804,0.091003916,0.203801912,0.070350847,0.104706447,0.195886489,0.085026026,0.097893444,0.091493657,0.083084023,0.039692262,0.054483438,0.041140918,0.076936332,0.09212677,0.049678664,0.051965146,0.09212677,0.052358758,0.03471362,0.106102354,0.067999447,0.010464091,0.017201906,0.007042838,0.020741636,0.029856026,0.056761769,0.039821981,0.090602927,0.034203003,0.052358758,0.110296158,0.164945233
