Date,MONTH,DAY,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
6/13/24,6,13,1.873323398,1.842795802,N/A,N/A,0.317460317,0.461538462,0.63496063,N/A,N/A,1.509043928,N/A,0.94488189,N/A,1.304347826,0,0,N/A,3.356643357,N/A,N/A,0.96,0.5,1.678321678,2.290076336,1.864098837,1.850961538,0,1.370838117,0.392156863,2.240968047,6.480077476,9.045682103,1.842630652,4.393375269,2.813293376,3.103927702,4.792270531,3.697586328,1.83982684,3.20610687,11.78667323,3.100775194,2.748091603,1.804511278,8.708885942,4.840702937,3.40390156,4.10495634,2.433516206,2.810791485,1.804761878,,0,,,1.4,0.4,0.6,0,2.53,0.6,0,1.51,0,0.61,0.91,1.51,0.81
6/14/24,6,14,1.508378436,1.860576923,N/A,N/A,0.973030143,0.465116279,0.32,N/A,0,0.305343511,0.621499548,1.211469534,N/A,0.637460317,0.957195248,0,N/A,2.156638817,N/A,N/A,0.48,0.678596994,1.343283582,2.748917749,1.777777778,0.48,0,0.916030534,1.72541744,2.945486212,1.847401984,1.886072835,10.95785441,3.345846795,0.930232558,5.361329834,1.300027152,8.738535889,5.084921939,7.421092374,14.79489362,3.902459031,4.573883633,1.558441558,6.330181155,6.3531961,5.546099661,4.50325937,4.983601787,3.070710322,2.047514174,,0,,,1.18,0,0.98,0.91,2.74,1.99,1.01,0.91,2.4,0.61,0.3,2.13,1.01
6/15/24,6,15,1.353509878,1.587906504,N/A,2.339387368,2.633833519,0,0.631330392,N/A,0.784313725,0.666666667,0.625343511,0.627537837,0,0,0,0.615384615,0,2.126291619,N/A,N/A,0.465116279,1.013874893,0.454545455,1.635808271,4.122137405,2.34375,0,0.625,2.858560794,0.952501905,5.635225885,5.609808102,7.032517882,4.504647742,1.545617174,7.705849991,0.48,3.877828054,2.4474821,0.930288462,14.91465149,3.920811847,2.167525832,2.553191489,9.253731343,8.667845528,3.717920601,7.140513359,2.357925045,3.803578663,2.857377006,6.588721706,0,,,2.08,0.39,3.66,1.52,2.11,1.21,1.61,0.94,0,0.8,0.91,1.83,2.02
6/16/24,6,16,0.875912409,1.634920635,1.455609756,1.517880688,0.322580645,0.327868852,0.600848783,N/A,0.64516129,0.610687023,0.608584982,1.826061712,4.106026507,0.923076923,0.601503759,0.3125,1.212121212,2.71195097,N/A,2.727272727,0.615384615,1.846153846,1.223828803,1.568348733,1.784347826,2.2098019,0.307692308,2.146836181,1.875338102,4.065769231,0.650578512,6.575155051,2.666666667,5.326137421,3.120754944,5.800484529,3.612615483,3.638242894,5.169616956,4.090909091,9.142640775,6.281449429,6.706004859,1.88976378,11.70820812,8.121408627,3.919772706,14.32414163,3.903597341,4.524086791,3.632706498,5.123087285,0,,,1.48,0.99,0.8,0.3,0.42,1.21,1.02,1.22,0.91,0.81,0.2,1.22,0.6
6/17/24,6,17,1.796171813,1.086515794,1.265368852,0.3125,0.608444187,0.322580645,0.307692308,1.825585038,0.64516129,0.978494624,2.746060689,0.927847346,3.331053352,1.868411487,0,0,1.526717557,2.326413744,4.701819019,1.502657083,0.911680912,1.377568996,0.305343511,0.906847271,3.127281022,2.156638817,0.608373814,2.757486788,6.47189584,3.373550154,2.7303553,4.39073741,3.75738189,3.94489093,0.954920635,3.738941029,4.945420028,5.262305535,0.620155039,3.976512038,8.077749023,4.757332421,2.867625418,4,10.86059066,6.957252466,2.344615349,11.654885,2.830710066,3.441386998,5.965627488,4.22088229,0,,,2.08,1.72,0.6,1.21,0.3,1.41,1.63,2.38,0.91,0.61,0.81,1.83,2.11
6/18/24,6,18,2.728519179,1.381109593,0.645203252,0,0.918662501,0.64532917,2.720975668,0.601503759,0.925647653,1.865633075,5.10155987,2.746390627,1.833941606,0,0,0.458015267,0.589382449,3.159722222,0.845070423,2.193638466,0.705882353,0.933979406,1.23557607,1.856294681,0.923076923,2.362204724,1.519881508,0,4.463401648,6.111327247,1.24666505,3.99577167,2.441073179,5.058079983,6.248594543,1.245647653,1.875,3.829352542,5.531859017,2.50492126,6.388663968,4.430710298,4.171735242,2.627640845,4.01057532,6.973108456,1.525227314,8.062435027,5.297548139,6.259096948,2.566856414,3.306101269,0,,,4.27,0.59,1.38,0.4,1.5,0.3,0.61,1.52,0.3,0.61,0,0.61,2.13
6/19/24,6,19,5.550894996,0.625989526,4.577702703,1.600609756,0.634920635,0.3125,0.952380952,0.895522388,2.147014972,1.846153846,0.916030534,1.553154442,7.545269193,0.307692308,0.799388028,0.898066194,1.555232558,0.952380952,6.978354978,2.723326666,0.461538462,1.40625,1.923076923,3.653050336,1.867732558,0.476190476,0.876005078,3.350185372,3.111111111,0.96,2.890322581,7.5,2.480620155,6.886586696,3.720930233,6.204617088,3.245080501,3.529411765,2.800612998,1.26488189,3.679511278,5.831570038,3.962703963,6.054233536,11.61440066,9.227799228,4.429692466,10.29945745,3.65714829,3.559174621,6.706898988,7.085378508,0,,,2.66,0.3,1.79,1.81,2.35,0.91,1.02,1.41,1.22,0.61,0,2.44,1.48
6/20/24,6,20,5.02838605,2.471153846,3.362204724,3.091474418,0.608444187,0.3125,0,1.579918789,0.350877193,1.237924866,2.784926471,0.634920635,6.654931391,0.608796296,1.384615385,0.31496063,0.707070707,1.501896204,4.298319328,1.670848893,1.534567315,2.780133253,0.625,3.472367049,1.523849519,1.860465116,0.593765463,3.585093775,2.748891223,4.666046512,3.692307692,5.90264304,6.710678913,2.22272115,4.734408199,4.180065548,3.101520707,11.35869565,2.800803746,2.849764747,3.168305379,7.675366621,6.785436785,3.211050725,14.47414413,8.725292457,3.507566258,4.442527881,4.677851178,2.10613119,6.559846655,7.552463162,0,,,3.82,1.16,0.99,2.25,1.8,0.3,0.61,0.2,0.91,0,0.61,2.13,4.32
6/21/24,6,21,3.068294889,5.127262756,1.304235537,0.905982906,0.322580645,0,1.267692308,0.322580645,0.601503759,0.597314314,3.260632497,1.844177875,7.107890499,1.233339961,0,1.245305875,1.513888889,0.31496063,3.169038528,2.872887289,1.203007519,0,0.96,1.543269231,0.914475243,1.871366279,4.034188034,2.329737387,2.778771616,2.348269994,3,2.791035736,6.699300699,8.26975764,3.998018799,5.191620879,1.565153193,7.626262626,4.840424912,3.375728438,3.035769275,6.90647482,6.036815453,3.681569476,10.6205655,10.00595593,2.653943405,6.629031532,3.393360188,2.820983276,11.8710636,6.45692298,0,,,2.89,1.99,2.37,1.81,2.18,2.42,1.62,0.91,0.91,0.6,0.61,2.13,5.02
6/22/24,6,22,6.086898154,3.082006988,5.028605998,1.384615385,1.277584204,0.305343511,0.947381577,0.31496063,2.889442599,1.589403974,1.40734015,0.9375,3.160699062,0,1.395348837,0.635080645,0.3125,0.317460317,3.188811189,2.743053949,1.230769231,1.323076923,1.562238931,1.832061069,2.800425746,0.921021236,0.89383039,2.710673391,2.149504563,1.922745495,2.903225806,8.559691221,3.425387597,4.873609707,3.135084428,3.009049774,3.366394519,4.345238095,2.485844904,2.45236521,5.28184567,5.735294118,3.68548065,5.192028366,11.33147554,10.30639043,6.869795729,7.778076079,3.890881921,4.195611839,8.166646524,6.282567752,0,,,1.96,2.07,1.2,1.22,1.97,0.6,2.36,1.98,1.63,0,0.61,2.78,3.25
6/23/24,6,23,5.833333333,1.198552691,1.257498154,1.377622378,0,0.458015267,2.074074074,3.75738189,1.550387597,0.620155039,0.932730457,0.472440945,4.8535336,1.245342291,0,0.476190476,0.627537837,1.338315217,1.374045802,1.374045802,0.333333333,1.538461538,0,4.813887232,1.839755639,4.860879935,0.888937665,1.536185573,3.94926616,4.500748399,4.639731894,2.881898208,4.312462731,4.225987855,4.65228106,2.21472316,1.515151515,6.164565362,3.284940945,4.336769174,3.775838903,6.447527433,6.310634328,2.749262409,15.97113401,13.35139319,6.851976419,7.674820029,1.462990174,5.020370996,12.59648974,4.563762893,0,,,4.66,1.73,2.62,2.2,2.41,1.47,0,1.41,1.63,0.6,0.81,2.94,4.75
6/24/24,6,24,9.204101286,1.507049101,0.865883349,0.583941606,0.32,0.606060606,2.09628549,0.317460317,1.280040963,1.590994371,2.566269904,0.465116279,3.051486191,0.317460317,2.168157424,0,2.253521127,0.637541275,3.623860458,1.860465116,0.307692308,1.216783217,0.944940476,4.9375,1.865348227,2.156451565,0.888888889,1.860805861,2.110060385,3.023995334,5.353535354,7.323576435,4.830950144,1.527247484,6.083333333,4.576330944,5.005568385,4.543561994,1.771820856,5.149369149,4.89015499,5.129334965,5.309794602,3.673659674,10.39914735,14.53003689,8.944674378,7.254665701,3.208831404,2.877883126,7.240421941,6.635774724,0,,,3.9,3.01,0.89,0.6,2.18,1.74,1.11,0.41,0.61,1.2,1.22,5.22,4.06
6/25/24,6,25,9.357285682,3.518640059,1.312935431,3.053613054,0.476190476,1.920122888,1.247577519,1.56988189,0.94488189,2.362204724,3.020332714,0.902255639,2.502889502,0.637703252,0,0,0.606060606,0,3.049161365,0.916030534,0.307692308,2.131451706,2.492732558,3.20610687,1.212121212,1.242732558,1.395281517,1.853530534,3.219909691,4.824005147,3.868131868,6.944561997,5.44788411,2.785927251,6.061046512,2.190387597,4.464858438,8.952547884,2.769230769,4.74895551,9.485952644,4.245414673,4.058280028,4.534236354,16.34443458,8.882502444,10.59702925,5.537795393,1.512391944,3.319083826,7.825314832,5.645028097,0,,,3.16,2.56,3.46,2.99,2.39,0.6,-,1.99,1.01,1.52,0.61,2.77,2.23
6/26/24,6,26,6.342937202,2.799272609,1.00284742,0.45112782,1.201830628,0.647783897,0.307692308,1.526717557,5.148091603,0.880840599,2.128327277,2.582040257,2.493309481,0.952380952,0.909090909,1.35706085,0.920728127,0.935230145,5.800475232,1.853309481,1.730345245,1.230769231,2.676667041,6.733772995,1.323529412,2.156340612,4.176658407,0.461538462,1.972854842,4.92244093,8.231884058,9.546815103,4.057807636,2.998315553,8.255639098,4.580152672,7.134455696,7.45882885,1.830956376,0.930232558,5.83069904,5.816596195,5.837104072,8.453830794,9.602907579,14.90431488,9.412736091,5.412877412,4.438675626,3.480918152,5.120226167,6.88026635,0,,,3.46,2.95,1.16,2.4,3.32,1.01,0,1.62,0.61,1.59,1.22,1.4,0.61
6/27/24,6,27,2.461826499,4.86002886,0.64,1.285367134,0,1.000643323,0.64,1.562615356,2.250218723,0.905699363,1.19882488,1.22255291,3.641025641,0.932655039,1.550769231,0.592592593,0.9375,0.310077519,2.267532566,0.909090909,0.913194444,4.021978022,1.230991164,2.748091603,1.103176557,6.709892667,0.613107822,3.032967033,1.255075674,6.887629038,4.932106385,6.988543372,4.256018514,1.867847914,4.651388165,5.047658516,4.840828773,9.520843221,2.13740458,8.186423506,7.338624339,6.03958341,5.788770053,9.432492367,9.558663431,11.52136752,8.672310765,4.694087258,1.878857751,3.901096008,5.352928115,5.170925663,0,,,3.71,1.97,2.76,2.45,3.77,0.79,0,1.79,1.21,2.42,0,3,1.81
6/28/24,6,28,1.788899378,4.248118909,5.549781022,1.866330391,1.510699826,0.303030303,1.238037553,3.346111366,1.310887675,2.466308885,1.244084405,3.844271251,1.88625,2.467469437,1.479367867,0.615384615,0.461538462,3.067661173,1.237956204,0.909090909,2.147566719,3.282051282,4.525546857,2.322115385,1.354793886,4.277660324,1.185185185,1.832061069,4.814258269,10.23337304,4.575757576,6.648372757,4.284927766,6.483914572,5.896013709,2.388571429,4.341085271,7.608528491,3.960994266,0.96,5.940230972,8.237119327,1.841747629,9.760913913,7.158313643,10.93509354,14.57146187,3.112332596,2.993127284,5.718891588,5.871644474,3.76724263,0,,,3.98,2.94,4.07,2.13,2.56,0.6,1.6,0.61,1.61,0.61,0,0.89,1.21
6/29/24,6,29,7.447165759,6.76744186,2.950982106,3.259652686,0.32,2.478462106,0,1.292060511,1.804511278,0.706504824,3.416259403,4.255033136,4.204595792,2.132578276,1.536185573,1.242843511,0.933866279,1.837121212,3.090454773,3.0722619,2.748091603,2.532308378,3.019663438,1.216888375,1.527349229,6.313390313,2.45323292,4.157642464,2.698412698,5.140741611,6.85682201,2.674076496,8.942059158,4.785258711,5.624038462,2.358870968,6.262872206,10.5171201,4.010060985,3.203463203,7.09248498,8.263314294,3.565036929,10.98455742,11.78510105,5.544465962,8.776092259,6.278008913,5.869139267,5.11620122,6.179836508,6.018720078,0,,,3.1,3.06,3.28,1.48,0.81,1.39,2.19,3.61,0.41,1.5,-,2.12,1.2
6/30/24,6,30,5.431432974,7.427083333,4.037728894,3.698597919,0,2.755244755,0,0.918949234,2.297122725,1.590994371,6.902695525,1.791245791,5.279382802,0.64516129,0.620155039,0.310077519,1.355912409,2.624338624,2.80075188,1.237924866,0.902255639,3.582491582,2.676886474,2.632601163,1.826388889,4.244566973,4.141688928,7.323910063,3.750697674,4.767474241,11.9044938,4.069823306,7.890979883,8.440647072,5.317751948,6.028846154,3.199713672,10.43667444,6.146779379,0.45112782,8.57407217,2.394074074,4.285263348,9.314462627,15.39177687,11.31131751,8.931845624,3.263194395,4.64602318,4.442043945,5.172492118,4.94959814,0,,,3.38,4.05,2.69,2.3,1.59,1.57,1.62,1.21,0.41,0.81,-,4.34,1.21
7/1/24,7,1,2.341946903,5.28,3.227166276,3.674547675,0.618212197,0,1.545653589,0.625038149,1.222657826,1.38862782,2.469412974,2.959791434,3.643410853,1.860465116,2.151497358,2.100566101,1.554001554,0.437956204,3.28628073,1.22375843,1.69047619,2.637362637,1.151138716,3.329091961,0.45112782,8.06153726,2.364706232,0.930381661,5.384615385,2.997186937,8.767672044,3.219241259,6.808882672,5.143691204,8.887885909,6.511627907,1.700891516,12.30000221,4.891774892,1.232876712,5.064512952,4.284384767,4.587862851,9.735294118,12.25015668,10.16878025,10.15569023,4.406066722,7.192796378,6.67022374,4.738694374,4.587408019,0,,,3.97,3.9,3.56,4.08,0.91,1.78,2.38,1.82,1.22,2,1.21,2.9,3.13
7/2/24,7,2,0.495867769,4.164248872,2.608695652,1.513153051,1.264841895,0.95766129,2.13986014,1.276483051,1.579918789,0.9375,4.666666667,2.825309525,3.424327949,1.916190476,3.238400999,2.520007966,1.520091848,7.315010571,2.203158848,0.613107822,0.857142857,6.700854701,3.206787765,2.35875625,2.090960135,3.713942308,1.488970588,3.167700373,4.545980335,0.916030534,12.29049212,6.498547739,10.14705882,7.409216751,9.381451089,4.951923077,0.952380952,5.966816824,4.954084675,0.606373816,7.865022713,8.981481481,1.52958153,8.402255639,11.28421248,12.87606237,7.25412564,3.056018423,6.420555459,3.947994094,2.83051269,6.511296694,0,,,3.39,3.25,2.95,2.8,4.62,1.56,1.22,2.7,0.91,2.19,1.81,5.94,3.74
7/3/24,7,3,1.272553481,6.457824067,0.897321429,3.635439951,0.601503759,0.610687023,0.476190476,1.28,1.882613511,0.31496063,7.246376812,0.899191738,1.921406759,1.250232558,2.986437141,2.790697674,1.813836918,2.283529412,1.550537553,2.694266382,1.047272727,2.290598291,1.477297896,1.897262842,1.520099151,2.734743836,1.529138357,0.904670111,5.477986998,2.765707575,5.928184282,6.330116993,10.2536843,5.978682171,5.81093322,5.669291339,2.880184332,15.65062389,2.102118241,2.911681374,5.131868132,5.454896395,3.104217557,5.473684211,8.11572019,7.94317218,5.984936952,7.152206894,4.03856019,5.888132157,6.876201717,4.04090903,0,,,6.73,2.04,2.32,2.76,0.9,1.36,1.78,2.72,3.05,1.42,4.28,6.71,3.66
7/4/24,7,4,5.110031034,4.401480954,0,4.446856599,0.927996449,0.322580645,1.549090909,1.838568679,3.349394758,0.476190476,3.238311069,1.214755639,3.029339887,2.803655126,1.835584263,2.13986014,0,2.439335726,2.259158752,0.307692308,0.927884615,4.017094017,0.613035819,3.633199039,1.751824818,4.0279965,3.832997988,1.805037313,10.13853172,4.133192389,6.315637066,6.019394097,6.794089787,7.932979429,7.268483492,5.203980154,4.253749567,6.887844979,1.55075188,0.620155039,9.378253326,4.465240642,2.109875295,6.047138047,10.75182482,6.67957694,5.832549705,9.33682754,7.397988611,2.59517481,4.681090025,5.994213798,0,,,3.99,4.56,3.9,2.05,2.31,0.91,1.98,4.07,1.52,2.42,2.68,2.77,1.1
7/5/24,7,5,5.581744893,3.590885003,0.303030303,8.656952055,0.601503759,1.26007326,3.767302525,2.753268784,2.087735897,1.235576923,3.026565465,1.706082967,7.003444317,2.359285474,1.699917729,0.606060606,0,3.865702905,4.826826717,1.860576923,0.932692308,2.720647773,0.465116279,3.294007902,2.709315948,4.491180461,4.886487729,3.111111111,4.67335563,3.67469172,6.801354531,5.521695079,1.82536265,7.0931306,5.823394453,4.93359953,6.63477808,6.634678299,8.556606185,0.935115669,5.591722146,7.495849474,4.438502674,4.914394066,11.15384615,9.814779815,6.316597039,6.938847014,4.876239976,3.800440627,3.203737849,5.88107175,0,,,3.55,2.61,3.26,2.3,3.55,1.76,1.01,4.14,2.74,1.5,2.18,3.09,3.13
7/6/24,7,6,7.656168565,3.308823529,1.478241057,5.719406042,2.307692308,0.584050122,1.587301587,1.791831357,1.534242732,3.659782078,2.664553052,1.818181818,10.49094567,5.26717033,0.454545455,1.811346548,0.937613568,4.496778812,2.488545937,1.31036915,1.853422168,1.206594543,0.923568764,3.357491264,2.696237121,5.908623461,4.060150376,2.953367377,7.112031286,5.617625763,7.503649635,4.238064094,5.088603599,8.829215897,4.938925144,5.345277425,6.822510823,6.871023713,4.229166667,1.577380952,9.220347441,6.635201142,1.490392648,7.006717161,5.698319363,9.889204285,9.429390137,6.953185257,2.439260213,4.649495507,3.513071796,6.164570367,0,,,5.55,4.41,2.35,3.44,1.2,3.23,0.9,2,2.63,3.21,2.95,5.2,1.99
7/7/24,7,7,5.836113932,5.176252319,1.221374046,3.16976378,0.647783897,0.571428571,2.473846154,2.492886064,0.610687023,2.122293307,2.733763946,4.677478332,13.11331928,0,0.916030534,2.175425746,0.615384615,4.590989177,1.345160702,1.569998154,2.182692308,1.333333333,0.428571429,4.920151744,2.548466027,7.807438058,1.384615385,4.848484848,4.657233314,3.012446607,9.451787649,6.712496669,6.644424414,5.018139755,8.438538206,6.650621356,4.244354382,1.739408473,4.247885645,2.04397569,8.186638388,3.636363636,1.848647477,6.011013151,6.010776947,13.3363269,9.091251228,5.961028118,3.907687518,6.051938685,6.529536522,6.064846337,0,,,5.62,4.09,2.31,4.53,2.72,3.52,1.6,2.03,1.42,2.4,1.99,5.36,2.43
7/8/24,7,8,5.953726198,5.61839759,2.388192704,6.630316249,0.31496063,1.990392648,2.216843542,1.582423165,4.025409382,3.050847458,2.357972225,3.297112526,6.528231216,1.846153846,2.970164147,2.415614237,1.121103118,3.144707185,2.333333333,0.625038149,1.538461538,0.907553223,1.723108595,8.323191607,2.04379562,3.524856918,1.88976378,5.298821767,7.454991415,4.816783135,7.130474453,8.721040939,5.488046091,5.651744685,5.961945032,3.526717557,5.499531069,3.536525561,5.324443934,0.880362377,4.296011039,1.846476657,3.696015271,6.473722735,7.324966162,9.924211884,6.847186731,9.62494309,1.693520541,5.117910371,3.061893274,8.831056476,0,,,3.5,1.17,1.49,2.38,1.27,2.39,0.91,4.04,1.01,3.27,2.65,4.47,0.9
7/9/24,7,9,4.817927171,7.954704606,1.31713555,9.565439502,0.96,0.94075188,3.320543403,3.371975806,1.227673238,1.870305875,3.823593022,5.728274174,3.766153846,0.925647653,4.351290501,1.548302379,0.945,5.366520118,1.231060606,1.875457875,1.550424866,1.450549451,1.146496815,4.552501762,1.433080808,3.483494677,2.763063708,6.524064171,6.667126657,3.345146082,5.968768074,5.658627087,4.392812024,1.876946583,3.682297346,2.832302212,9.160927585,1.462857143,6.552072801,1.170127582,5.052687742,2.019137727,5.743198407,6.890428242,6.282447049,7.876389863,4.14498868,11.06426662,3.97412415,5.349184702,3.633078375,6.564930434,0,,,4.87,1.9,2.66,1.79,1.57,3.64,0.3,2.12,1.62,3.53,4.12,5.82,0.77
7/10/24,7,10,0.483870968,2.055890411,2.024874799,7.667184057,3.797956204,4.016015271,3.355462447,0.625,0.472440945,1.57234252,4.05844138,3.427824208,2.705910853,3.301639445,2.555217642,5.693430657,2.8274954,4.292888244,1.223722842,1.343283582,1.522125926,2.91005291,1.379310345,0.916030534,5.023398793,2.502887834,2.110481186,7.913493756,8.386011121,6.511775518,4.624254334,11.10869994,1.233375548,3.783941606,8.014927831,6.340337785,8.977274014,3.223171131,6.936507937,3.395876916,5.321067821,1.839107457,4.122621564,7.416737749,5.834874567,6.778853793,5.226572758,9.181805182,4.448213888,4.621066748,2.526850398,10.83773374,0,,,4.63,0.99,3.13,2.43,3.13,1.16,0.9,3.23,3.05,2.49,1.81,5.45,2.86
